0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,Control_51,C9-Patient_66,C9-Patient_67,C9-Patient_68,C9-Patient_69,C9-Patient_70,C9-Patient_71,C9-Patient_72,C9-Patient_73,C9-Patient_74,C9-Patient_75
chr14_85867717,0.78,0.47,0.72,0.47,0.6,0.6,0.47,0.54,0.56,0.86,0.8,0.5,0.86,0.51,0.84,0.83,0.84,0.77,0.87,0.42,0.0,0.01,0.0,0.39,0.9,0.0,0.01,0.44,0.0,0.37,0.83
chr1_209936168,0.95,0.97,0.92,0.93,0.92,0.81,0.93,0.9,0.95,0.84,0.95,0.93,0.86,0.85,0.87,0.88,0.83,0.76,0.92,1.0,0.86,0.74,0.8,0.7,0.65,0.79,0.76,0.76,0.77,0.72,0.7
chr21_42105795,0.86,0.9,0.84,0.95,1.0,0.8,0.89,1.0,0.92,0.91,0.83,0.86,0.88,0.94,0.87,0.83,0.8,0.8263333333333335,0.81,1.0,0.86,0.68,0.7,0.69,0.64,0.84,0.69,0.69,0.79,0.69,0.63
chr16_51817927,0.75,0.76,0.78,0.81,0.87,0.74,0.92,0.88,0.88,0.9,0.74,0.88,1.0,0.85,0.81,0.75,0.89,0.87,0.88,0.85,0.76,0.6,0.69,0.69,0.69,0.76,0.6,0.68,0.62,0.65,0.56
chr21_44552642,0.88,0.83,0.63,0.78,0.78,0.87,0.85,0.89,0.85,0.84,0.86,0.87,0.82,0.9,0.89,0.77,0.69,0.83,0.86,0.87,0.75,0.63,0.7,0.7,0.54,0.63,0.68,0.66,0.66,0.59,0.67
chr8_76987516,0.92,0.43,0.73,0.94,0.9,0.86,0.43,0.94,0.93,0.95,0.37,0.91,0.6,0.53,0.47,0.91,0.38,0.78,0.97,0.52,0.85,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.46,0.91,0.84
chr2_230995807,0.62,0.41,0.54,0.44,0.3,0.51,0.49,0.52,0.5,0.48,0.41,0.75,0.7,0.69,0.57,0.51,0.57,0.45,0.38,0.72,0.41,0.27,0.31,0.35,0.36,0.41,0.32,0.36,0.31,0.24,0.19
chr7_2409074,0.86,0.88,0.5,0.76,0.77,0.7375862068965515,0.83,0.75,0.81,0.78,0.7375862068965515,0.9,0.92,0.75,0.75,0.83,0.8,0.85,0.91,0.71,0.82,0.61,0.56,0.63,0.5,0.65,0.61,0.74,0.65,0.7,0.56
chr6_6971520,0.34,0.67,0.75,0.4,0.77,0.34,0.71,0.8,0.29,0.42,0.6,0.85,0.45,0.82,0.0,0.62,0.71,0.75,0.3,0.34,0.0,0.28,0.29,0.0,0.26,0.27,0.0,0.34,0.31,0.0,0.25
chr3_194617694,0.88,0.8,0.52,0.9,0.32,0.89,0.91,0.5,0.88,0.9,0.93,0.5,0.89,0.96,0.84,0.61,0.89,0.75,0.83,0.89,0.86,0.51,0.47,0.47,0.0,0.85,0.37,0.45,0.43,0.54,0.54
chr17_7241290,0.24,0.14,0.37,0.33,0.3,0.5,0.16,0.43,0.11,0.31,0.36,0.33,0.1,0.17,0.41,0.28,0.39,0.13,0.37,0.12,0.23,0.46,0.43,0.61,0.52,0.48,0.57,0.26,0.52,0.63,0.67
chr19_46655074,0.4,0.36,0.44,0.43,0.3,0.48,0.47,0.47,0.3,0.34,0.45,0.51,0.46,0.51,0.36,0.52,0.48,0.34,0.47,0.5,0.39,0.26,0.21,0.23,0.26,0.36,0.26,0.21,0.23,0.26,0.2
chr1_1457071,0.9,0.87,0.71,0.86,1.0,0.89,0.93,0.48,0.95,0.83,0.85,0.0,0.91,0.88,0.81,0.9,0.88,0.8,0.96,0.88,0.87,0.36,0.44,0.36,0.48,0.31,0.47,0.82,0.4,0.37,0.86
chr5_1871485,0.83,0.9,0.7,0.63,0.88,0.0,0.54,0.81,0.0,0.77,0.93,0.7,0.93,0.52,0.37,0.86,0.57,0.51,0.9,0.81,0.85,0.43,0.39,0.32,0.29,0.35,0.84,0.01,0.36,0.46,0.47
chr13_99968167,0.11,0.15,0.04,0.07,0.16,0.31,0.09,0.09,0.09,0.0,0.16,0.25,0.09,0.0,0.0,0.15,0.04,0.06,0.13,0.05,0.14,0.39,0.24,0.32,0.3,0.3,0.22,0.3,0.19,0.26,0.27
chr5_114691154,0.8,0.72,0.67,0.78,0.72,0.79,0.69,0.76,0.62,0.7,0.81,0.72,0.74,0.78,0.85,0.82,0.68,0.59,0.84,0.75,0.56,0.29,0.48,0.61,0.56,0.55,0.62,0.56,0.6,0.66,0.41
chr5_4580921,0.83,0.85,0.78,0.85,0.9,0.94,0.86,0.87,0.85,0.88,0.84,0.94,0.84,0.88,0.96,0.92,0.86,0.88,0.83,0.95,0.8,0.41,0.88,0.81,0.8,0.46,0.82,0.3,0.72,0.35,0.8
chr20_750969,0.83,0.74,0.63,0.72,0.55,0.61,0.62,0.72,0.56,0.47,0.65,0.7,0.87,0.6,0.65,0.69,0.69,0.57,0.68,0.81,0.43,0.44,0.45,0.54,0.46,0.55,0.41,0.48,0.53,0.39,0.34
chr2_216316275,0.66,0.46,0.52,0.47,0.33,0.46,0.75,0.47,0.5,0.72,0.63,0.68,0.4603703703703702,0.5,0.4603703703703702,0.61,0.4603703703703702,0.4603703703703702,0.36,0.45,0.5,0.42,0.27,0.45,0.38,0.44,0.34,0.36,0.15,0.27,0.28
chr10_49678819,0.6,0.78,0.64,0.65,0.82,0.81,0.7,0.81,0.72,0.9,0.68,0.69,0.72,0.66,0.73,0.66,0.77,0.85,1.0,0.81,0.55,0.51,0.58,0.46,0.52,0.58,0.59,0.6,0.63,0.6,0.6
chr7_74094395,0.05,0.05,0.0,0.0,0.0,0.03,0.03,0.1,0.0,0.08,0.0,0.08,0.04,0.08,0.13,0.0,0.0,0.0,0.0,0.0,0.07,0.3,0.25,0.11,0.14,0.22,0.17,0.12,0.16,0.24,0.16
chr13_98948513,0.79,0.71,0.66,0.66,0.75,0.8,0.72,0.54,0.55,0.46,0.6193103448275863,0.93,0.71,0.72,0.72,0.76,0.6193103448275863,0.58,0.54,0.8,0.83,0.52,0.5,0.45,0.54,0.39,0.46,0.49,0.43,0.4,0.55
chr20_61768416,0.91,0.78,0.76,0.82,0.69,0.8,0.76,0.92,0.83,0.8,0.83,0.91,0.84,0.88,0.75,0.88,0.88,0.76,0.88,0.84,0.59,0.64,0.67,0.66,0.56,0.69,0.61,0.67,0.68,0.66,0.58
chr5_99899815,0.8,0.87,0.72,0.89,0.88,0.82,0.85,0.92,0.9,0.9,0.84,0.91,0.92,0.83,0.86,0.84,0.61,0.9,0.81,0.91,0.82,0.71,0.72,0.64,0.6,0.71,0.7,0.62,0.72,0.67,0.66
chr10_30697771,0.54,0.4,0.5,0.0,0.34,0.0,0.91,0.0,0.79,0.96,0.51,0.0,0.93,0.48,0.89,0.0,0.35,0.89,0.41,0.51,0.52,0.93,0.91,0.87,0.81,0.9,0.91,0.93,0.43,0.84,0.85
chr5_1871519,0.79,0.81,0.75,0.41,0.87,0.0,0.41,0.63,0.0,0.79,0.86,0.71,0.8,0.35,0.34,0.7,0.59,0.44,0.91,0.62,0.78,0.32,0.34,0.25,0.21,0.34,0.6,0.0,0.22,0.25,0.35
chr1_239774140,0.92,0.87,0.92,0.82,0.83,0.81,0.89,0.94,0.81,0.93,0.89,0.96,0.84,0.79,0.88,0.83,0.83,0.73,0.8,0.94,0.74,0.63,0.73,0.73,0.72,0.7,0.67,0.73,0.78,0.67,0.49
chr14_36224078,0.53,0.0,0.03,0.0,0.41,0.0,0.41,0.45,0.79,0.28,0.47,0.83,0.82,0.0,0.4,0.46,0.84,0.25,0.5,0.85,0.41,0.83,0.8,0.88,0.8,0.8,0.47,0.76,0.81,0.8,0.82
chr7_43481211,0.88,0.0,0.38,0.95,0.52,0.55,1.0,0.87,0.0,0.45,0.84,0.5,0.33,0.56,0.88,0.64,0.95,0.64,0.96,0.0,0.9,0.0,0.0,0.42,0.32,0.4,0.0,0.42,0.0,0.54,0.4
chr10_109238519,0.78,0.8,0.88,0.91,0.89,0.82,0.81,0.91,0.83,0.37,0.92,0.86,0.9,0.92,0.9,0.82,0.96,0.81,0.84,0.78,0.71,0.62,0.68,0.62,0.75,0.63,0.75,0.65,0.63,0.68,0.59
chr1_37805822,0.34,0.0,0.34,0.38,0.44,0.0,0.0,0.0,1.0,0.31,0.96,0.0,0.46,0.0,0.0,0.0,0.0,0.5,0.47,0.0,0.0,0.46,0.45,0.48,0.82,0.5,0.46,0.43,0.45,0.9,0.4
chr5_15118304,0.81,0.91,0.82,0.85,0.82,0.73,0.89,0.88,0.95,0.95,0.78,0.94,0.85,0.88,0.88,0.87,0.85,0.8,0.77,0.87,0.9,0.63,0.65,0.67,0.67,0.74,0.73,0.75,0.76,0.75,0.75
chr15_60917891,0.63,0.58,0.57,0.63,0.5,0.53,0.5,0.55,0.58,0.6,0.67,0.73,0.55,0.51,0.64,0.76,0.61,0.55,0.66,0.87,0.72,0.45,0.5,0.52,0.3,0.45,0.44,0.47,0.44,0.38,0.31
chr10_30692341,0.0,0.54,0.36,0.0,0.47,0.0,0.81,0.0,0.54,1.0,0.29,0.0,0.85,0.4,0.91,0.0,0.36,0.8,0.52,0.52,0.29,0.81,0.85,0.91,0.76,0.82,0.83,0.8,0.37,0.72,0.8
chr16_23390958,0.8,0.9,0.88,0.9,0.82,0.92,0.91,0.93,0.92,0.95,0.89,0.95,0.96,0.95,0.89,0.88,0.8,0.85,0.87,0.9,0.86,0.69,0.8,0.72,0.78,0.75,0.72,0.72,0.71,0.67,0.69
chr19_46655070,0.4,0.37,0.33,0.48,0.28,0.43,0.44,0.38,0.3,0.31,0.35,0.41,0.4,0.43,0.39,0.42,0.41,0.3,0.41,0.51,0.34,0.24,0.17,0.23,0.25,0.3,0.23,0.16,0.15,0.22,0.2
chr13_52655599,0.58,0.6,0.83,0.68,0.72,0.72,0.83,0.6,0.81,0.72,0.75,0.63,0.88,0.76,0.8,0.68,0.64,0.63,0.73,0.74,0.68,0.53,0.59,0.54,0.66,0.55,0.44,0.43,0.56,0.5,0.38
chr17_50075433,0.74,0.78,0.76,0.8,0.72,0.87,0.68,0.83,0.75,0.84,0.71,0.86,0.82,0.66,0.8,0.54,0.6,0.59,0.72,0.81,0.76,0.54,0.48,0.59,0.6,0.53,0.56,0.65,0.59,0.52,0.5
chr1_235648940,0.03,0.2,0.06,0.04,0.03,0.03,0.05,0.06,0.03,0.12,0.16,0.09,0.0,0.12,0.03,0.13,0.04,0.2,0.18,0.0,0.1,0.22,0.3,0.3,0.22,0.2,0.21,0.28,0.3,0.2,0.24
chr3_6865183,0.77,0.65,0.55,0.73,0.65,0.61,0.71,0.78,0.81,0.92,0.68,0.73,0.79,0.78,0.73,0.7,0.7,0.55,0.77,0.81,0.69,0.48,0.6,0.61,0.49,0.55,0.58,0.52,0.52,0.46,0.5
chr16_9758310,0.76,0.87,0.76,0.82,0.82,0.9,0.63,0.82,0.87,0.8,0.91,1.0,0.92,0.88,0.96,0.86,0.77,0.94,0.89,1.0,0.6,0.64,0.72,0.73,0.72,0.5,0.71,0.73,0.68,0.68,0.7
chr8_124840111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29,0.0,0.35,0.0,0.0,0.276,0.0,0.0,0.16,0.0,0.78,0.0,0.6,0.35,0.0,0.5,0.72,0.49,0.84,0.37,0.59,0.4,0.84
chr22_30507371,0.96,0.88,0.85,0.86,0.77,0.5,0.89,0.9,0.88,0.91,0.47,0.96,0.86,0.9,0.54,0.0,0.57,0.8,0.54,0.57,0.81,0.35,0.4,0.46,0.46,0.41,0.01,0.85,0.47,0.83,0.0
chr5_152689740,0.63,0.8,0.74,0.58,0.86,0.87,0.82,0.82,0.93,0.84,0.82,0.86,0.81,0.92,0.9,0.81,0.91,0.85,0.79,0.83,0.81,0.58,0.61,0.71,0.66,0.69,0.63,0.7,0.65,0.65,0.66
chr10_99141268,0.82,0.71,0.77,0.7,0.65,0.86,0.87,0.61,0.7,0.68,0.76,0.72,0.73,0.65,0.68,0.75,0.88,0.77,0.71,0.89,0.65,0.44,0.61,0.53,0.65,0.53,0.53,0.61,0.49,0.6,0.47
chr2_74365575,0.86,0.85,0.74,0.91,0.91,0.86,0.76,0.82,0.78,0.74,0.67,0.9,0.84,0.92,0.82,0.9,0.74,0.8,0.8,0.9,0.72,0.68,0.64,0.57,0.68,0.64,0.63,0.66,0.65,0.68,0.73
chr8_122783941,0.8,0.91,0.48,0.34,0.78,0.47,0.74,0.78,0.77,0.83,0.82,0.47,0.8,0.0,0.79,0.84,0.76,0.74,0.73,0.93,0.69,0.38,0.88,0.42,0.4,0.87,0.01,0.42,0.01,0.0,0.4
chr1_227787050,0.51,0.31,0.35,0.65,0.59,0.29,0.4,0.27,0.64,0.42,0.44,0.44,0.6,0.36,0.33,0.44,0.35,0.33,0.25,0.46,0.45,0.32,0.22,0.22,0.14,0.17,0.15,0.2,0.2,0.28,0.2
chr7_138680000,0.89,0.92,0.83,0.41,0.95,0.82,0.92,0.85,1.0,0.89,0.96,0.93,0.44,0.93,0.0,0.55,0.96,0.83,0.84,0.93,0.36,0.0,0.0,0.36,0.79,0.89,0.46,0.44,0.49,0.34,0.46
chr19_5043764,0.73,0.38,0.35,0.82,0.92,0.82,0.79,0.93,0.89,0.61,0.82,0.91,0.83,0.9,0.88,0.92,0.78,0.84,0.66,0.8,0.42,0.4,0.01,0.77,0.43,0.4,0.72,0.53,0.72,0.38,0.45
chr10_94645572,0.74,0.51,0.48,0.67,0.89,0.84,0.91,0.47,0.47,0.75,0.83,0.86,0.91,0.79,0.51,0.82,0.0,0.51,0.75,0.89,0.7,0.47,0.49,0.42,0.43,0.0,0.0,0.38,0.42,0.79,0.42
chr17_2366475,0.0,0.3,0.84,0.52,0.0,0.0,0.39,0.37,0.34,0.97,0.0,0.0,0.0,0.39,0.54,0.0,0.38,0.62,0.0,0.44,0.46,0.92,0.98,0.91,0.57,0.47,0.5,0.89,0.02,0.84,0.51
chr7_25327024,0.77,0.84,0.86,0.85,0.9,0.84,0.87,0.92,0.82,0.94,0.66,0.92,0.83,0.86,0.89,0.79,0.82,0.74,0.9,0.87,0.88,0.7,0.74,0.69,0.65,0.64,0.72,0.73,0.69,0.63,0.63
chr3_187013960,0.64,0.63,0.77,0.55,0.61,0.84,0.0,0.75,0.72,0.78,0.83,0.0,0.0,0.41000000000000003,0.41000000000000003,0.82,0.7,0.41000000000000003,0.0,0.89,0.62,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
chr4_143977180,0.66,0.42,0.56,0.61,0.59,0.7,0.35,0.58,0.7,0.6,0.53,0.74,0.8,0.5,0.62,0.75,0.73,0.7,0.64,0.7,0.53,0.39,0.43,0.52,0.48,0.5,0.45,0.45,0.38,0.45,0.28
chr7_156921930,0.76,0.8,0.79,0.78,0.82,0.9,0.84,0.86,0.88,0.82,0.71,0.77,0.79,0.8,0.95,0.82,0.87,0.78,0.77,0.91,0.88,0.63,0.67,0.75,0.66,0.67,0.67,0.72,0.73,0.75,0.55
chr3_55061730,0.53,0.36,0.35321428571428576,0.57,0.36,0.46,0.42,0.52,0.33,0.5,0.5,0.46,0.42,0.55,0.4,0.33,0.35321428571428576,0.35321428571428576,0.69,0.26,0.06,0.14,0.34,0.23,0.16,0.15,0.24,0.19,0.05,0.32,0.35
chr6_75175212,0.66,0.44,0.42,0.62,0.28,0.35,0.46,0.3,0.5,0.53,0.42,0.63,0.43,0.43,0.53,0.29,0.45,0.59,0.42,0.57,0.5,0.2,0.27,0.21,0.29,0.29,0.23,0.39,0.2,0.24,0.24
chr15_70053287,0.38,0.4310344827586208,0.38,0.0,0.4,0.0,0.56,0.0,0.3,0.0,0.0,0.46,0.83,0.37,0.0,0.0,0.4310344827586208,0.25,0.3,1.0,0.44,0.75,0.4,0.87,0.76,0.54,0.89,0.44,0.86,0.42,0.9
chr12_49805886,0.73,0.93,0.8,0.84,0.92,0.87,0.87,0.81,0.96,0.96,0.94,0.93,0.81,0.93,0.82,0.85,0.9,0.8,1.0,0.8,0.85,0.75,0.74,0.64,0.58,0.65,0.66,0.67,0.86,0.61,0.64
chr3_19888796,0.92,0.89,0.84,0.8,0.78,0.78,0.78,0.96,0.85,0.85,0.93,1.0,0.88,0.96,0.88,0.95,0.84,0.77,0.91,0.96,0.92,0.75,0.74,0.7,0.69,0.69,0.72,0.72,0.88,0.69,0.55
chr13_112521028,0.86,0.88,0.78,0.97,0.92,0.86,0.82,0.91,0.89,0.87,1.0,0.94,0.92,0.88,0.88,0.85,0.9,0.9,0.96,0.9,0.84,0.8,0.75,0.75,0.75,0.76,0.77,0.76,0.78,0.69,0.69
chr2_218668180,0.57,0.0,0.35,0.55,0.46,0.8,0.87,0.9,0.46,0.43,0.63,0.69,0.86,0.94,1.0,0.16,0.45066666666666666,0.4,0.5,0.38,0.45,0.94,0.0,0.0,0.37,0.0,0.0,0.35,0.0,0.0,0.46
chr7_56606466,0.71,0.92,0.81,0.82,0.91,0.65,0.89,0.87,0.79,0.81,0.86,0.82,0.76,0.77,0.57,0.85,0.9,0.78,0.78,0.66,0.76,0.66,0.7,0.68,0.61,0.52,0.61,0.61,0.6,0.47,0.65
chr15_77613747,0.45,0.56,0.61,0.42,0.61,0.45,0.3,0.6,0.44,0.36,0.3,0.75,0.58,0.41,0.44821428571428573,0.72,0.44821428571428573,0.44821428571428573,0.64,0.71,0.5,0.32,0.28,0.29,0.41,0.32,0.37,0.3,0.25,0.3,0.3
chr1_241677457,0.69,0.69,0.67,0.75,0.48,0.64,0.64,0.73,0.63,0.75,0.71,0.7,0.6,0.64,0.67,0.71,0.87,0.68,0.69,0.67,0.66,0.56,0.51,0.51,0.57,0.54,0.52,0.52,0.56,0.53,0.56
chr12_122166871,0.0,0.3,0.0,0.35,0.31,0.0,0.28,0.28,0.33,0.0,0.5,0.35,0.53,0.51,0.35,0.51,0.2,0.77,0.53,0.53,0.42,0.39,0.84,0.42,0.47,0.79,0.81,0.8,0.73,0.81,0.92
chr7_138665354,0.43,0.48,0.63,0.42,0.82,0.72,0.81,0.69,0.66,0.42,0.75,0.8,0.65,0.71,0.5359999999999999,0.42,0.66,0.5,0.7,0.72,0.76,0.02,0.32,0.0,0.61,0.3,0.63,0.42,0.33,0.3,0.4
chr2_70895823,0.41,0.45,0.0,0.36,0.49,0.0,0.32,0.24,0.33,0.37,0.33,0.36,0.36,0.35,0.51,0.67,0.54,0.04,0.34,0.41,0.25,0.0,0.0,0.0,0.0,0.28,0.0,0.23,0.26,0.0,0.25
chr10_87974887,0.78,0.81,0.68,0.81,0.79,0.76,0.87,0.77,0.75,0.75,0.81,0.96,0.79,0.63,0.88,0.84,0.78,0.73,0.82,0.95,0.87,0.7,0.6,0.56,0.47,0.54,0.59,0.67,0.8,0.49,0.41
chr18_21315752,0.68,0.78,0.68,0.78,0.89,0.81,0.79,0.92,0.94,0.85,0.84,0.78,0.82,0.82,0.8,0.89,0.86,0.66,0.9,0.9,0.75,0.7,0.63,0.7,0.53,0.68,0.63,0.63,0.64,0.52,0.68
chr3_43583657,0.73,0.71,0.79,0.7,0.68,0.89,0.82,0.87,0.65,0.8,0.82,0.82,0.87,0.79,0.78,0.79,0.82,0.89,0.78,0.89,0.74,0.61,0.68,0.57,0.7,0.53,0.59,0.7,0.54,0.55,0.63
chr7_22146332,0.89,0.88,0.86,0.8,0.94,0.9,0.81,0.76,0.66,0.8,0.84,1.0,0.8,0.76,0.85,0.91,0.53,0.61,0.68,1.0,0.87,0.64,0.6,0.54,0.59,0.65,0.68,0.61,0.6,0.59,0.6
chr5_88603115,0.95,0.89,0.72,0.85,0.91,0.92,0.82,0.81,0.83,0.86,0.91,0.95,0.92,0.83,0.9,0.76,0.96,0.94,0.8243333333333333,0.96,0.86,0.73,0.69,0.79,0.79,0.68,0.66,0.79,0.75,0.66,0.64
chr8_123183430,0.77,0.84,0.72,0.78,0.84,0.66,0.74,0.75,0.68,0.78,0.77,0.82,0.94,0.76,0.87,0.79,0.66,0.83,0.83,0.88,0.78,0.54,0.6,0.43,0.42,0.53,0.52,0.65,0.78,0.74,0.45
chr3_57309920,0.86,0.8,0.82,0.85,0.97,0.84,0.95,0.84,1.0,1.0,0.81,0.97,0.97,0.92,0.96,1.0,0.87,0.9,0.76,0.94,0.69,0.65,0.76,0.71,0.75,0.75,0.76,0.78,0.7,0.7,0.76
chr6_3165651,0.45,0.65,0.92,0.93,0.81,0.7166666666666669,0.7166666666666669,0.76,0.83,0.93,1.0,0.88,0.57,0.81,0.57,0.81,0.7166666666666669,0.7166666666666669,1.0,0.75,0.81,0.54,0.62,0.63,0.71,0.71,0.51,0.57,0.61,0.45,0.52
chr14_24267710,0.92,0.92,0.82,0.92,0.81,0.97,0.86,0.94,0.94,0.9,0.91,0.91,0.87,0.87,0.86,1.0,0.82,0.78,0.87,0.95,0.82,0.76,0.75,0.69,0.65,0.79,0.76,0.78,0.78,0.78,0.75
chr17_4809018,0.91,0.86,0.61,0.77,0.82,0.9,0.3,0.85,0.91,0.51,0.91,0.28,0.5,0.0,0.91,0.58,0.26,0.69,1.0,1.0,0.43,0.43,0.37,0.31,0.0,0.96,0.47,0.33,0.01,0.42,0.0
chr13_21054686,0.84,0.91,0.92,0.86,0.91,0.89,0.97,0.88,0.89,1.0,0.92,0.97,0.93,0.86,0.81,0.97,0.78,0.83,0.92,0.89,0.91,0.68,0.77,0.75,0.71,0.72,0.73,0.85,0.7,0.75,0.7
chr11_58292412,0.7,0.37,0.38,0.57,0.31,0.66,0.92,0.57,0.62,0.2,0.68,0.33,0.62,0.05,0.4,0.31,0.0,0.5376666666666666,0.27,0.5,0.37,0.84,0.89,0.71,0.68,0.34,0.72,0.75,0.7,0.92,0.75
chr9_27526049,0.95,0.77,0.65,0.44,0.92,0.6,0.95,0.84,0.86,0.96,0.57,0.4,1.0,0.36,0.34,0.85,0.0,0.0,0.88,0.96,0.0,0.36,0.0,0.41,0.0,0.44,0.47,0.53,0.42,0.0,0.54
chr7_151164536,0.71,0.52,0.65,0.57,0.54,0.65,0.63,0.72,0.62,0.71,0.7,0.58,0.75,0.71,0.66,0.56,0.64,0.58,0.55,0.75,0.71,0.49,0.46,0.46,0.39,0.52,0.39,0.49,0.52,0.55,0.36
chr2_99254906,0.0,0.5,0.71,0.57,0.9,0.91,0.87,0.83,0.93,0.52,0.66,0.59,0.56,0.54,0.0,0.92,0.44,0.62,0.0,0.51,0.83,0.91,0.0,0.0,0.0,0.0,0.49,0.4,0.41,0.43,0.39
chr7_26244197,0.73,0.57,0.73,0.84,0.82,0.82,0.86,0.81,0.8,0.83,0.74,0.86,0.75,0.77,0.75,0.57,0.75,0.68,0.58,0.92,0.72,0.52,0.66,0.62,0.59,0.56,0.54,0.58,0.54,0.63,0.53
chr10_5546377,0.76,0.7526666666666666,0.82,0.83,0.94,0.75,0.92,0.7,0.77,0.88,0.77,0.92,0.95,0.78,0.72,0.86,0.77,0.86,0.66,0.83,0.76,0.68,0.64,0.74,0.66,0.52,0.59,0.52,0.57,0.72,0.69
chr1_240468517,0.62,0.55,0.55,0.83,0.73,0.32,0.8,0.84,0.62,0.85,0.45,0.65,0.7,0.72,0.67,0.62,0.76,0.0,0.57,0.61,0.6,0.0,0.81,0.3,0.24,0.39,0.28,0.25,0.0,0.35,0.64
chr5_150558176,0.5,0.78,0.08,0.87,0.42,0.62,0.5,0.83,0.5,0.25,0.91,0.55,0.4571428571428572,0.41,0.18,0.61,0.75,0.4571428571428572,0.8,0.81,0.4571428571428572,0.02,0.48,0.0,0.57,0.3,0.0,0.45,0.26,0.35,0.0
chr6_20717304,0.88,0.83,0.95,0.92,0.92,0.91,0.95,0.92,0.92,0.9,0.83,0.92,0.94,1.0,0.9,1.0,1.0,1.0,0.83,0.85,0.93,0.79,0.83,0.82,0.68,0.8,0.75,0.8,0.79,0.71,0.62
chr3_72210980,0.44333333333333336,0.84,0.18,0.68,0.0,0.0,0.61,0.73,0.44333333333333336,0.0,0.68,0.0,1.0,0.66,0.44333333333333336,0.73,0.71,0.9,0.44333333333333336,0.72,0.78,0.61,0.5,0.0,0.0,0.46,0.6,0.0,0.03,0.55,0.0
chr1_240457033,0.86,0.78,0.75,0.71,0.78,0.4,0.8,0.77,0.87,0.72,0.46,0.84,0.8,0.64,0.76,0.74,0.85,0.0,0.52,0.86,0.73,0.0,0.84,0.44,0.41,0.4,0.39,0.43,0.02,0.41,0.69
chr9_132771056,0.91,0.94,0.93,0.9,0.89,0.94,0.87,0.9,0.8,0.86,0.88,0.9,0.97,0.88,0.84,0.92,0.93,0.87,0.91,0.91,0.79,0.67,0.7,0.67,0.8,0.8,0.79,0.77,0.7,0.7,0.76
chr5_167817083,0.85,0.9,0.78,0.9,0.75,0.88,0.79,0.81,0.7,0.78,0.82,0.9,0.9,0.83,0.7,0.88,0.93,0.78,0.82,0.94,0.8,0.76,0.6,0.69,0.65,0.71,0.67,0.69,0.56,0.61,0.59
chr15_78339170,0.96,0.78,0.96,0.81,0.88,0.92,0.94,0.89,0.94,1.0,0.96,0.85,0.92,0.91,1.0,0.96,0.91,0.95,0.95,0.84,0.95,0.78,0.79,0.77,0.7,0.77,0.76,0.77,0.81,0.73,0.74
chr22_49613119,0.86,0.87,0.87,0.82,0.93,0.9,0.91,0.88,0.84,0.86,0.85,0.89,0.91,0.85,0.9,0.88,0.83,0.78,0.9,0.93,0.79,0.7,0.64,0.66,0.71,0.75,0.72,0.79,0.75,0.7,0.71
chr11_5968062,0.83,0.92,0.4,0.47,0.95,0.82,0.86,0.81,0.94,0.87,0.88,0.9,0.83,0.85,0.41,0.92,0.87,0.82,0.9,0.91,0.85,0.42,0.88,0.0,0.45,0.0,0.43,0.0,0.0,0.87,0.84
chr5_73119643,0.68,0.59,0.8,0.62,0.64,0.64,0.66,0.67,0.64,0.84,0.71,0.52,0.67,0.57,0.6,0.62,0.83,0.56,0.82,0.64,0.83,0.52,0.5,0.51,0.38,0.33,0.53,0.5,0.7,0.47,0.46
chr5_90056161,0.64,0.45,0.58,0.6,0.44,0.6,0.55,0.59,0.5,0.55,0.38,0.65,0.69,0.52,0.67,0.57,0.34,0.37,0.63,0.52,0.56,0.23,0.33,0.28,0.34,0.46,0.38,0.29,0.33,0.24,0.25
chr2_132603713,0.9,0.75,0.87,0.86,0.91,0.9,0.87,0.96,0.9,0.84,0.88,0.9,0.93,0.9,0.77,0.94,0.87,0.84,0.75,0.86,0.92,0.79,0.71,0.78,0.67,0.69,0.65,0.72,0.72,0.62,0.61
chr22_30379685,0.83,0.9,0.77,0.9,0.95,0.92,0.91,0.91,0.94,0.37,0.33,0.51,0.95,0.92,0.88,0.96,0.0,0.88,0.86,0.44,0.8,0.53,0.0,0.47,0.53,0.5,0.35,0.0,0.87,0.57,0.48
chr8_29218347,0.89,0.85,0.67,0.82,0.84,0.73,0.87,0.87,0.78,0.88,0.85,0.93,0.92,0.78,0.93,0.78,0.83,0.75,0.9,0.86,0.83,0.69,0.76,0.68,0.64,0.6,0.62,0.75,0.61,0.61,0.64
chr13_111683899,0.78,0.9,0.56,0.93,0.96,0.94,0.94,0.9,0.94,0.91,0.79,0.96,0.9,0.86,0.84,0.94,0.87,0.84,0.82,1.0,0.87,0.7,0.81,0.74,0.57,0.65,0.73,0.7,0.76,0.75,0.62
chr13_24638251,0.66,0.65,0.54,0.5,0.81,0.62,0.84,0.72,0.7,0.59,0.3,0.57,0.72,0.57,0.56,0.53,0.53,0.61,0.77,0.63,0.43,0.49,0.37,0.43,0.4,0.28,0.41,0.48,0.14,0.48,0.54
